Fecha,Fibra óptica
2022-10-01,367000.0
2022-07-01,339000.0
2022-04-01,309000.0
2022-01-01,236000.0
2021-10-01,217000.0
2021-07-01,167000.0
2021-04-01,152000.0
2021-01-01,135000.0
2020-10-01,126000.0
2020-07-01,102000.0
2020-04-01,86000.0
2020-01-01,69000.0
2019-10-01,53000.0
2019-07-01,30000.0
2019-04-01,23000.0
2019-01-01,20000.0
2018-10-01,18000.0
2018-07-01,16000.0
2018-04-01,14000.0
2018-01-01,13000.0
2017-10-01,13000.0
2017-07-01,11000.0
2017-04-01,4000.0
2017-01-01,5000.0
2016-10-01,3000.0
2016-07-01,3000.0
2016-04-01,2000.0
2016-01-01,1674.0
2015-10-01,1480.0
2015-07-01,1000.0
2015-04-01,435.0
2015-01-01,415.0
2014-10-01,419.0
2014-07-01,444.0
2014-04-01,351.0
2014-01-01,347.0
