Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,Año-Trimestre
2014,1,4000,2000,150,71,73,6000,Ene-Mar 2014,2014-01-01
2014,2,4000,2000,149,72,72,6000,Abr-Jun 2014,2014-02-01
2014,3,4000,3000,155,85,70,7000,Jul-Sept 2014,2014-03-01
2014,4,4000,3000,150,77,72,7000,Oct-Dic 2014,2014-04-01
2015,1,4000,3000,168,79,66,7000,Ene-Mar 2015,2015-01-01
2015,2,4000,3000,151,82,59,7000,Abr-Jun 2015,2015-02-01
2015,3,4000,3000,163,85,59,7000,Jul-Sept 2015,2015-03-01
2015,4,4000,3000,139,86,59,7000,Oct-Dic 2015,2015-04-01
2016,1,4000,3000,164,85,59,7000,Ene-Mar 2016,2016-01-01
2016,2,4000,3000,168,85,59,7000,Abr-Jun 2016,2016-02-01
2016,3,4000,3000,170,81,54,7000,Jul-Sept 2016,2016-03-01
2016,4,4000,3000,178,85,55,7000,Oct-Dic 2016,2016-04-01
2017,1,4000,3000,180,85,56,7000,Ene-Mar 2017,2017-01-01
2017,2,4000,3000,181,86,56,7000,Abr-Jun 2017,2017-02-01
2017,3,4000,4000,194,106,132,8000,Jul-Sept 2017,2017-03-01
2017,4,4000,4000,211,156,101,8000,Oct-Dic 2017,2017-04-01
2018,1,4000,4000,217,165,99,8000,Ene-Mar 2018,2018-01-01
2018,2,4000,4000,226,194,95,8000,Abr-Jun 2018,2018-02-01
2018,3,4000,4000,247,246,94,8000,Jul-Sept 2018,2018-03-01
2018,4,3000,4000,388,264,178,8000,Oct-Dic 2018,2018-04-01
2019,1,3000,4000,637,276,166,9000,Ene-Mar 2019,2019-01-01
2019,2,3000,5000,761,308,265,9000,Abr-Jun 2019,2019-02-01
2019,3,3000,5000,852,338,264,9000,Jul-Sept 2019,2019-03-01
2019,4,2000,5000,941,340,213,9000,Oct-Dic 2019,2019-04-01
2020,1,2000,5000,1000,352,209,9000,Ene-Mar 2020,2020-01-01
2020,2,2000,5000,1000,377,247,9000,Abr-Jun 2020,2020-02-01
2020,3,2000,5000,1000,413,249,9000,Jul-Sept 2020,2020-03-01
2020,4,2000,5000,1000,422,253,10000,Oct-Dic 2020,2020-04-01
2021,1,2000,5000,1000,435,250,10000,Ene-Mar 2021,2021-01-01
2021,2,2000,6000,1000,477,254,10000,Abr-Jun 2021,2021-02-01
2021,3,2000,6000,2000,492,250,10000,Jul-Sept 2021,2021-03-01
2021,4,2000,6000,2000,523,253,10000,Oct-Dic 2021,2021-04-01
2022,1,2000,6000,2000,546,252,11000,Ene-Mar 2022,2022-01-01
2022,2,1000,6000,3000,556,232,11000,Abr-Jun 2022,2022-02-01
2022,3,1000,6000,3000,557,235,11000,Jul-Sept 2022,2022-03-01
2022,4,1000,6000,3000,573,222,11000,Oct-Dic 2022,2022-04-01
