fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,BUENOS AIRES,A,5230,2013,8.0,653.75
2013-01-01,BUENOS AIRES,B,15376,2013,8.0,1922.0
2013-01-01,BUENOS AIRES,C,10191,2013,8.0,1273.875
2013-01-01,BUENOS AIRES,D,24148,2013,8.0,3018.5
2013-01-01,BUENOS AIRES,E,11562,2013,8.0,1445.25
2013-01-01,BUENOS AIRES,F,5581,2013,8.0,697.625
2013-01-01,BUENOS AIRES,G,6879,2013,8.0,859.875
2013-01-01,BUENOS AIRES,H,9573,2013,8.0,1196.625
2013-01-01,BUENOS AIRES,I,4347,2013,8.0,543.375
2013-01-01,BUENOS AIRES,J,11166,2013,8.0,1395.75
2013-01-01,BUENOS AIRES,K,16537,2013,8.0,2067.125
2013-01-01,BUENOS AIRES,L,5651,2013,8.0,706.375
2013-01-01,BUENOS AIRES,M,5868,2013,8.0,733.5
2013-01-01,BUENOS AIRES,N,5456,2013,8.0,682.0
2013-01-01,BUENOS AIRES,O,7628,2013,8.0,953.5
2013-01-01,BUENOS AIRES,P,4479,2013,8.0,559.875
2013-01-01,BUENOS AIRES,Q,7026,2013,8.0,878.25
2013-01-01,BUENOS AIRES,R,5566,2013,8.0,695.75
2013-01-01,BUENOS AIRES,S,6026,2013,8.0,753.25
2013-01-01,BUENOS AIRES,Z,5987,2013,8.0,748.375
2013-01-01,CAPITAL FEDERAL,A,9298,2013,8.0,1162.25
2013-01-01,CAPITAL FEDERAL,B,36413,2013,8.0,4551.625
2013-01-01,CAPITAL FEDERAL,C,9803,2013,8.0,1225.375
2013-01-01,CAPITAL FEDERAL,D,23048,2013,8.0,2881.0
2013-01-01,CAPITAL FEDERAL,E,14654,2013,8.0,1831.75
2013-01-01,CAPITAL FEDERAL,F,5992,2013,8.0,749.0
2013-01-01,CAPITAL FEDERAL,G,8255,2013,8.0,1031.875
2013-01-01,CAPITAL FEDERAL,H,11450,2013,8.0,1431.25
2013-01-01,CAPITAL FEDERAL,I,5188,2013,8.0,648.5
2013-01-01,CAPITAL FEDERAL,J,12469,2013,8.0,1558.625
2013-01-01,CAPITAL FEDERAL,K,17359,2013,8.0,2169.875
2013-01-01,CAPITAL FEDERAL,L,6769,2013,8.0,846.125
2013-01-01,CAPITAL FEDERAL,M,9718,2013,8.0,1214.75
2013-01-01,CAPITAL FEDERAL,N,5996,2013,8.0,749.5
2013-01-01,CAPITAL FEDERAL,O,11373,2013,8.0,1421.625
2013-01-01,CAPITAL FEDERAL,P,5546,2013,8.0,693.25
2013-01-01,CAPITAL FEDERAL,Q,9882,2013,8.0,1235.25
2013-01-01,CAPITAL FEDERAL,R,8166,2013,8.0,1020.75
2013-01-01,CAPITAL FEDERAL,S,7824,2013,8.0,978.0
2013-01-01,CAPITAL FEDERAL,Z,11761,2013,8.0,1470.125
2013-01-01,CATAMARCA,A,4705,2013,8.0,588.125
2013-01-01,CATAMARCA,B,24996,2013,8.0,3124.5
2013-01-01,CATAMARCA,C,7616,2013,8.0,952.0
2013-01-01,CATAMARCA,D,16560,2013,8.0,2070.0
2013-01-01,CATAMARCA,E,6638,2013,8.0,829.75
2013-01-01,CATAMARCA,F,3836,2013,8.0,479.5
2013-01-01,CATAMARCA,G,5326,2013,8.0,665.75
2013-01-01,CATAMARCA,H,7523,2013,8.0,940.375
2013-01-01,CATAMARCA,I,4533,2013,8.0,566.625
2013-01-01,CATAMARCA,J,7119,2013,8.0,889.875
2013-01-01,CATAMARCA,K,9699,2013,8.0,1212.375
2013-01-01,CATAMARCA,L,5174,2013,8.0,646.75
2013-01-01,CATAMARCA,M,3909,2013,8.0,488.625
2013-01-01,CATAMARCA,N,4540,2013,8.0,567.5
2013-01-01,CATAMARCA,O,5838,2013,8.0,729.75
2013-01-01,CATAMARCA,P,5971,2013,8.0,746.375
2013-01-01,CATAMARCA,Q,4653,2013,8.0,581.625
2013-01-01,CATAMARCA,R,2586,2013,8.0,323.25
2013-01-01,CATAMARCA,S,5280,2013,8.0,660.0
2013-01-01,CHACO,A,3919,2013,8.0,489.875
2013-01-01,CHACO,B,9795,2013,8.0,1224.375
2013-01-01,CHACO,C,6271,2013,8.0,783.875
2013-01-01,CHACO,D,14163,2013,8.0,1770.375
2013-01-01,CHACO,E,8832,2013,8.0,1104.0
2013-01-01,CHACO,F,4354,2013,8.0,544.25
2013-01-01,CHACO,G,5937,2013,8.0,742.125
2013-01-01,CHACO,H,7834,2013,8.0,979.25
2013-01-01,CHACO,I,4343,2013,8.0,542.875
2013-01-01,CHACO,J,10104,2013,8.0,1263.0
2013-01-01,CHACO,K,14726,2013,8.0,1840.75
2013-01-01,CHACO,L,5520,2013,8.0,690.0
2013-01-01,CHACO,M,4729,2013,8.0,591.125
2013-01-01,CHACO,N,4719,2013,8.0,589.875
2013-01-01,CHACO,O,6976,2013,8.0,872.0
2013-01-01,CHACO,P,4400,2013,8.0,550.0
2013-01-01,CHACO,Q,6051,2013,8.0,756.375
2013-01-01,CHACO,R,6057,2013,8.0,757.125
2013-01-01,CHACO,S,5747,2013,8.0,718.375
2013-01-01,CHACO,Z,5164,2013,8.0,645.5
2013-01-01,CHUBUT,A,7234,2013,8.0,904.25
2013-01-01,CHUBUT,B,29861,2013,8.0,3732.625
2013-01-01,CHUBUT,C,12853,2013,8.0,1606.625
2013-01-01,CHUBUT,D,20528,2013,8.0,2566.0
2013-01-01,CHUBUT,E,8616,2013,8.0,1077.0
2013-01-01,CHUBUT,F,9559,2013,8.0,1194.875
2013-01-01,CHUBUT,G,8225,2013,8.0,1028.125
2013-01-01,CHUBUT,H,11125,2013,8.0,1390.625
2013-01-01,CHUBUT,I,6028,2013,8.0,753.5
2013-01-01,CHUBUT,J,10531,2013,8.0,1316.375
2013-01-01,CHUBUT,K,16264,2013,8.0,2033.0
2013-01-01,CHUBUT,L,6164,2013,8.0,770.5
2013-01-01,CHUBUT,M,8434,2013,8.0,1054.25
2013-01-01,CHUBUT,N,9896,2013,8.0,1237.0
2013-01-01,CHUBUT,O,8980,2013,8.0,1122.5
2013-01-01,CHUBUT,P,8475,2013,8.0,1059.375
2013-01-01,CHUBUT,Q,7558,2013,8.0,944.75
2013-01-01,CHUBUT,R,8352,2013,8.0,1044.0
2013-01-01,CHUBUT,S,6723,2013,8.0,840.375
2013-01-01,CHUBUT,Z,4214,2013,8.0,526.75
2013-01-01,CORDOBA,A,4971,2013,8.0,621.375
2013-01-01,CORDOBA,B,7494,2013,8.0,936.75
2013-01-01,CORDOBA,C,9967,2013,8.0,1245.875
2013-01-01,CORDOBA,D,23704,2013,8.0,2963.0
2013-01-01,CORDOBA,E,11385,2013,8.0,1423.125
2013-01-01,CORDOBA,F,4244,2013,8.0,530.5
2013-01-01,CORDOBA,G,6220,2013,8.0,777.5
2013-01-01,CORDOBA,H,8141,2013,8.0,1017.625
2013-01-01,CORDOBA,I,3668,2013,8.0,458.5
2013-01-01,CORDOBA,J,9775,2013,8.0,1221.875
2013-01-01,CORDOBA,K,12955,2013,8.0,1619.375
2013-01-01,CORDOBA,L,5279,2013,8.0,659.875
2013-01-01,CORDOBA,M,5416,2013,8.0,677.0
2013-01-01,CORDOBA,N,4988,2013,8.0,623.5
2013-01-01,CORDOBA,O,7970,2013,8.0,996.25
2013-01-01,CORDOBA,P,5537,2013,8.0,692.125
2013-01-01,CORDOBA,Q,6206,2013,8.0,775.75
2013-01-01,CORDOBA,R,6180,2013,8.0,772.5
2013-01-01,CORDOBA,S,6475,2013,8.0,809.375
