Año,Trimestre,Provincia,Mbps (Media de bajada),Fecha
2014,1,Tucumán,0.321,2014 Q1
2014,1,Buenos Aires,0.373,2014 Q1
2014,1,Capital Federal,0.402,2014 Q1
2014,1,Catamarca,0.28,2014 Q1
2014,1,Chaco,0.326,2014 Q1
2014,1,Chubut,0.318,2014 Q1
2014,1,Córdoba,0.339,2014 Q1
2014,1,Entre Ríos,0.317,2014 Q1
2014,1,Formosa,0.257,2014 Q1
2014,1,Jujuy,0.269,2014 Q1
2014,1,La Pampa,0.265,2014 Q1
2014,1,La Rioja,0.296,2014 Q1
2014,1,Corrientes,0.322,2014 Q1
2014,1,Misiones,0.34,2014 Q1
2014,1,Neuquén,0.355,2014 Q1
2014,1,Río Negro,0.335,2014 Q1
2014,1,Salta,0.33,2014 Q1
2014,1,San Juan,0.347,2014 Q1
2014,1,San Luis,0.35,2014 Q1
2014,1,Santa Cruz,0.332,2014 Q1
2014,1,Santa Fe,0.315,2014 Q1
2014,1,Santiago Del Estero,0.295,2014 Q1
2014,1,Tierra Del Fuego,0.345,2014 Q1
2014,1,Mendoza,0.35,2014 Q1
2014,2,Jujuy,0.277,2014 Q2
2014,2,Formosa,0.265,2014 Q2
2014,2,Entre Ríos,0.331,2014 Q2
2014,2,Corrientes,0.337,2014 Q2
2014,2,Córdoba,0.356,2014 Q2
2014,2,Buenos Aires,0.385,2014 Q2
2014,2,Chaco,0.342,2014 Q2
2014,2,Catamarca,0.292,2014 Q2
2014,2,Capital Federal,0.425,2014 Q2
2014,2,La Pampa,0.268,2014 Q2
2014,2,Chubut,0.316,2014 Q2
2014,2,La Rioja,0.31,2014 Q2
2014,2,San Luis,0.35,2014 Q2
2014,2,Misiones,0.354,2014 Q2
2014,2,Neuquén,0.366,2014 Q2
2014,2,Río Negro,0.343,2014 Q2
2014,2,Salta,0.339,2014 Q2
2014,2,San Juan,0.347,2014 Q2
2014,2,Santa Cruz,0.332,2014 Q2
2014,2,Santa Fe,0.331,2014 Q2
2014,2,Santiago Del Estero,0.307,2014 Q2
2014,2,Tierra Del Fuego,0.347,2014 Q2
2014,2,Tucumán,0.335,2014 Q2
2014,2,Mendoza,0.35,2014 Q2
2014,3,Jujuy,0.293,2014 Q3
2014,3,Formosa,0.266,2014 Q3
2014,3,Entre Ríos,0.34,2014 Q3
2014,3,Corrientes,0.341,2014 Q3
2014,3,Córdoba,0.366,2014 Q3
2014,3,Buenos Aires,0.397,2014 Q3
2014,3,Chaco,0.346,2014 Q3
2014,3,Catamarca,0.292,2014 Q3
2014,3,Capital Federal,0.444,2014 Q3
2014,3,La Pampa,0.282,2014 Q3
2014,3,Chubut,0.317,2014 Q3
2014,3,La Rioja,0.31,2014 Q3
2014,3,San Luis,0.35,2014 Q3
2014,3,Misiones,0.358,2014 Q3
2014,3,Tierra Del Fuego,0.347,2014 Q3
2014,3,Santiago Del Estero,0.31,2014 Q3
2014,3,Santa Fe,0.338,2014 Q3
2014,3,Santa Cruz,0.331,2014 Q3
2014,3,Tucumán,0.335,2014 Q3
2014,3,San Juan,0.347,2014 Q3
2014,3,Salta,0.341,2014 Q3
2014,3,Río Negro,0.348,2014 Q3
2014,3,Neuquén,0.374,2014 Q3
2014,3,Mendoza,0.35,2014 Q3
2014,4,La Pampa,0.275,2014 Q4
2014,4,Capital Federal,0.478,2014 Q4
2014,4,Catamarca,0.334,2014 Q4
2014,4,Chaco,0.398,2014 Q4
2014,4,Chubut,0.317,2014 Q4
2014,4,Córdoba,0.409,2014 Q4
2014,4,Corrientes,0.381,2014 Q4
2014,4,Entre Ríos,0.38,2014 Q4
2014,4,Formosa,0.302,2014 Q4
2014,4,Jujuy,0.313,2014 Q4
2014,4,Buenos Aires,0.42,2014 Q4
2014,4,La Rioja,0.358,2014 Q4
2014,4,Misiones,0.403,2014 Q4
2014,4,Mendoza,0.35,2014 Q4
2014,4,Tucumán,0.386,2014 Q4
2014,4,Tierra Del Fuego,0.347,2014 Q4
2014,4,Santa Fe,0.378,2014 Q4
2014,4,Santa Cruz,0.333,2014 Q4
2014,4,Santiago Del Estero,0.346,2014 Q4
2014,4,San Juan,0.348,2014 Q4
2014,4,Salta,0.386,2014 Q4
2014,4,Río Negro,0.354,2014 Q4
2014,4,Neuquén,0.385,2014 Q4
2014,4,San Luis,0.35,2014 Q4
2015,1,Corrientes,0.463,2015 Q1
2015,1,Jujuy,0.324,2015 Q1
2015,1,Formosa,0.338,2015 Q1
2015,1,Entre Ríos,0.435,2015 Q1
2015,1,Córdoba,0.43,2015 Q1
2015,1,La Pampa,0.283,2015 Q1
2015,1,Chaco,0.49,2015 Q1
2015,1,Catamarca,0.348,2015 Q1
2015,1,Capital Federal,0.5,2015 Q1
2015,1,Buenos Aires,0.432,2015 Q1
2015,1,Chubut,0.321,2015 Q1
