fecha,zona_prov,letra,w_mean
2013-01-01,BUENOS AIRES,A,5230
2013-01-01,BUENOS AIRES,B,15376
2013-01-01,BUENOS AIRES,C,10191
2013-01-01,BUENOS AIRES,D,24148
2013-01-01,BUENOS AIRES,E,11562
2013-01-01,BUENOS AIRES,F,5581
2013-01-01,BUENOS AIRES,G,6879
2013-01-01,BUENOS AIRES,H,9573
2013-01-01,BUENOS AIRES,I,4347
2013-01-01,BUENOS AIRES,J,11166
2013-01-01,BUENOS AIRES,K,16537
2013-01-01,BUENOS AIRES,L,5651
2013-01-01,BUENOS AIRES,M,5868
2013-01-01,BUENOS AIRES,N,5456
2013-01-01,BUENOS AIRES,O,7628
2013-01-01,BUENOS AIRES,P,4479
2013-01-01,BUENOS AIRES,Q,7026
2013-01-01,BUENOS AIRES,R,5566
2013-01-01,BUENOS AIRES,S,6026
2013-01-01,BUENOS AIRES,Z,5987
2013-01-01,CAPITAL FEDERAL,A,9298
2013-01-01,CAPITAL FEDERAL,B,36413
2013-01-01,CAPITAL FEDERAL,C,9803
2013-01-01,CAPITAL FEDERAL,D,23048
2013-01-01,CAPITAL FEDERAL,E,14654
2013-01-01,CAPITAL FEDERAL,F,5992
2013-01-01,CAPITAL FEDERAL,G,8255
2013-01-01,CAPITAL FEDERAL,H,11450
2013-01-01,CAPITAL FEDERAL,I,5188
2013-01-01,CAPITAL FEDERAL,J,12469
2013-01-01,CAPITAL FEDERAL,K,17359
2013-01-01,CAPITAL FEDERAL,L,6769
2013-01-01,CAPITAL FEDERAL,M,9718
2013-01-01,CAPITAL FEDERAL,N,5996
2013-01-01,CAPITAL FEDERAL,O,11373
2013-01-01,CAPITAL FEDERAL,P,5546
2013-01-01,CAPITAL FEDERAL,Q,9882
2013-01-01,CAPITAL FEDERAL,R,8166
2013-01-01,CAPITAL FEDERAL,S,7824
2013-01-01,CAPITAL FEDERAL,Z,11761
2013-01-01,CATAMARCA,A,4705
2013-01-01,CATAMARCA,B,24996
2013-01-01,CATAMARCA,C,7616
2013-01-01,CATAMARCA,D,16560
2013-01-01,CATAMARCA,E,6638
2013-01-01,CATAMARCA,F,3836
2013-01-01,CATAMARCA,G,5326
2013-01-01,CATAMARCA,H,7523
2013-01-01,CATAMARCA,I,4533
2013-01-01,CATAMARCA,J,7119
2013-01-01,CATAMARCA,K,9699
2013-01-01,CATAMARCA,L,5174
2013-01-01,CATAMARCA,M,3909
2013-01-01,CATAMARCA,N,4540
2013-01-01,CATAMARCA,O,5838
2013-01-01,CATAMARCA,P,5971
2013-01-01,CATAMARCA,Q,4653
2013-01-01,CATAMARCA,R,2586
2013-01-01,CATAMARCA,S,5280
2013-01-01,CHACO,A,3919
2013-01-01,CHACO,B,9795
2013-01-01,CHACO,C,6271
2013-01-01,CHACO,D,14163
2013-01-01,CHACO,E,8832
2013-01-01,CHACO,F,4354
2013-01-01,CHACO,G,5937
2013-01-01,CHACO,H,7834
2013-01-01,CHACO,I,4343
2013-01-01,CHACO,J,10104
2013-01-01,CHACO,K,14726
2013-01-01,CHACO,L,5520
2013-01-01,CHACO,M,4729
2013-01-01,CHACO,N,4719
2013-01-01,CHACO,O,6976
2013-01-01,CHACO,P,4400
2013-01-01,CHACO,Q,6051
2013-01-01,CHACO,R,6057
2013-01-01,CHACO,S,5747
2013-01-01,CHACO,Z,5164
2013-01-01,CHUBUT,A,7234
2013-01-01,CHUBUT,B,29861
2013-01-01,CHUBUT,C,12853
2013-01-01,CHUBUT,D,20528
2013-01-01,CHUBUT,E,8616
2013-01-01,CHUBUT,F,9559
2013-01-01,CHUBUT,G,8225
2013-01-01,CHUBUT,H,11125
2013-01-01,CHUBUT,I,6028
2013-01-01,CHUBUT,J,10531
2013-01-01,CHUBUT,K,16264
2013-01-01,CHUBUT,L,6164
2013-01-01,CHUBUT,M,8434
2013-01-01,CHUBUT,N,9896
2013-01-01,CHUBUT,O,8980
2013-01-01,CHUBUT,P,8475
2013-01-01,CHUBUT,Q,7558
2013-01-01,CHUBUT,R,8352
2013-01-01,CHUBUT,S,6723
2013-01-01,CHUBUT,Z,4214
2013-01-01,CORDOBA,A,4971
2013-01-01,CORDOBA,B,7494
2013-01-01,CORDOBA,C,9967
2013-01-01,CORDOBA,D,23704
2013-01-01,CORDOBA,E,11385
2013-01-01,CORDOBA,F,4244
2013-01-01,CORDOBA,G,6220
2013-01-01,CORDOBA,H,8141
2013-01-01,CORDOBA,I,3668
2013-01-01,CORDOBA,J,9775
2013-01-01,CORDOBA,K,12955
2013-01-01,CORDOBA,L,5279
2013-01-01,CORDOBA,M,5416
2013-01-01,CORDOBA,N,4988
2013-01-01,CORDOBA,O,7970
2013-01-01,CORDOBA,P,5537
2013-01-01,CORDOBA,Q,6206
2013-01-01,CORDOBA,R,6180
2013-01-01,CORDOBA,S,6475
2013-01-01,CORDOBA,Z,4692
2013-01-01,CORRIENTES,A,4080
2013-01-01,CORRIENTES,B,5573
2013-01-01,CORRIENTES,C,7346
2013-01-01,CORRIENTES,D,13224
2013-01-01,CORRIENTES,E,6861
2013-01-01,CORRIENTES,F,4514
2013-01-01,CORRIENTES,G,5487
2013-01-01,CORRIENTES,H,7464
2013-01-01,CORRIENTES,I,4055
2013-01-01,CORRIENTES,J,8076
2013-01-01,CORRIENTES,K,14927
2013-01-01,CORRIENTES,L,4589
2013-01-01,CORRIENTES,M,4233
2013-01-01,CORRIENTES,N,4127
2013-01-01,CORRIENTES,O,6493
2013-01-01,CORRIENTES,P,6553
2013-01-01,CORRIENTES,Q,5825
2013-01-01,CORRIENTES,R,6301
2013-01-01,CORRIENTES,S,5148
2013-01-01,CORRIENTES,Z,8668
2013-01-01,ENTRE RIOS,A,4499
2013-01-01,ENTRE RIOS,B,6573
2013-01-01,ENTRE RIOS,C,7362
2013-01-01,ENTRE RIOS,D,25998
2013-01-01,ENTRE RIOS,E,5665
2013-01-01,ENTRE RIOS,F,4873
2013-01-01,ENTRE RIOS,G,6054
2013-01-01,ENTRE RIOS,H,7780
2013-01-01,ENTRE RIOS,I,3581
2013-01-01,ENTRE RIOS,J,8781
2013-01-01,ENTRE RIOS,K,11619
2013-01-01,ENTRE RIOS,L,4952
2013-01-01,ENTRE RIOS,M,4288
2013-01-01,ENTRE RIOS,N,4844
2013-01-01,ENTRE RIOS,O,6145
2013-01-01,ENTRE RIOS,P,4232
2013-01-01,ENTRE RIOS,Q,6204
2013-01-01,ENTRE RIOS,R,4891
2013-01-01,ENTRE RIOS,S,5740
2013-01-01,ENTRE RIOS,Z,11810
2013-01-01,FORMOSA,A,4509
2013-01-01,FORMOSA,B,12531
2013-01-01,FORMOSA,C,7705
2013-01-01,FORMOSA,D,10078
2013-01-01,FORMOSA,E,7349
2013-01-01,FORMOSA,F,4521
2013-01-01,FORMOSA,G,5511
2013-01-01,FORMOSA,H,8019
2013-01-01,FORMOSA,I,5253
2013-01-01,FORMOSA,J,7845
2013-01-01,FORMOSA,K,13444
2013-01-01,FORMOSA,L,5145
2013-01-01,FORMOSA,M,4104
2013-01-01,FORMOSA,N,4396
2013-01-01,FORMOSA,O,5927
2013-01-01,FORMOSA,P,6141
2013-01-01,FORMOSA,Q,5183
2013-01-01,FORMOSA,R,5126
2013-01-01,FORMOSA,S,5003
2013-01-01,JUJUY,A,2919
2013-01-01,JUJUY,B,15672
2013-01-01,JUJUY,C,8308
2013-01-01,JUJUY,D,11645
2013-01-01,JUJUY,E,7477
2013-01-01,JUJUY,F,4458
2013-01-01,JUJUY,G,5981
2013-01-01,JUJUY,H,8681
2013-01-01,JUJUY,I,4181
2013-01-01,JUJUY,J,7219
2013-01-01,JUJUY,K,11288
2013-01-01,JUJUY,L,5305
2013-01-01,JUJUY,M,4109
2013-01-01,JUJUY,N,4200
2013-01-01,JUJUY,O,5015
2013-01-01,JUJUY,P,5841
2013-01-01,JUJUY,Q,5635
2013-01-01,JUJUY,R,5388
2013-01-01,JUJUY,S,5074
2013-01-01,LA PAMPA,A,4696
2013-01-01,LA PAMPA,B,11263
2013-01-01,LA PAMPA,C,6600
2013-01-01,LA PAMPA,D,13491
2013-01-01,LA PAMPA,E,11672
2013-01-01,LA PAMPA,F,5635
2013-01-01,LA PAMPA,G,6549
2013-01-01,LA PAMPA,H,8258
2013-01-01,LA PAMPA,I,3943
2013-01-01,LA PAMPA,J,10071
2013-01-01,LA PAMPA,K,15461
2013-01-01,LA PAMPA,L,5503
2013-01-01,LA PAMPA,M,4252
2013-01-01,LA PAMPA,N,4861
2013-01-01,LA PAMPA,O,9824
2013-01-01,LA PAMPA,P,7496
2013-01-01,LA PAMPA,Q,5609
2013-01-01,LA PAMPA,R,7862
2013-01-01,LA PAMPA,S,5775
2013-01-01,LA RIOJA,A,3951
2013-01-01,LA RIOJA,B,5400
2013-01-01,LA RIOJA,C,7073
2013-01-01,LA RIOJA,D,13854
2013-01-01,LA RIOJA,E,6153
2013-01-01,LA RIOJA,F,4994
2013-01-01,LA RIOJA,G,5512
2013-01-01,LA RIOJA,H,7066
2013-01-01,LA RIOJA,I,4130
2013-01-01,LA RIOJA,J,9537
2013-01-01,LA RIOJA,K,11283
2013-01-01,LA RIOJA,L,4351
2013-01-01,LA RIOJA,M,4099
2013-01-01,LA RIOJA,N,4725
2013-01-01,LA RIOJA,O,4247
2013-01-01,LA RIOJA,P,6383
2013-01-01,LA RIOJA,Q,5334
2013-01-01,LA RIOJA,R,7031
2013-01-01,LA RIOJA,S,5091
2013-01-01,LA RIOJA,Z,983
2013-01-01,MENDOZA,A,3115
2013-01-01,MENDOZA,B,22609
2013-01-01,MENDOZA,C,6735
2013-01-01,MENDOZA,D,19325
2013-01-01,MENDOZA,E,9157
2013-01-01,MENDOZA,F,7011
2013-01-01,MENDOZA,G,6111
2013-01-01,MENDOZA,H,8035
2013-01-01,MENDOZA,I,4303
2013-01-01,MENDOZA,J,9045
2013-01-01,MENDOZA,K,12129
2013-01-01,MENDOZA,L,4839
2013-01-01,MENDOZA,M,6590
2013-01-01,MENDOZA,N,4427
2013-01-01,MENDOZA,O,6931
2013-01-01,MENDOZA,P,4853
2013-01-01,MENDOZA,Q,6076
